GLN_GUNCEL;BARKOD_GUNCEL;ADET;MF
8680001457823;8699546650057;1;0
8680001295876;8699546650057;1;0
8680001285556;8699546650057;1;0
8680001530281;8699546650057;1;0
8680001247912;8699546650057;7;1
8680001295876;8699546650057;1;0
8680001170920;8699546650057;1;0
8680001238958;8699546650057;1;0
8680001263110;8699546650057;7;1
8680001672943;8699546650057;1;0
8680001290918;8699546650057;1;0
8680001412129;8699546650057;1;0
8680001238958;8699546650057;1;0
8680001283583;8699546650057;2;0
8680001288670;8699546650057;2;0
8680001274901;8699546650057;1;0
8680001285556;8699546650057;7;1
8680001381937;8699546650057;1;0
8680001285600;8699546650057;2;0
8680001676125;8699546650057;2;0
8680001629503;8699546650057;7;1
8680001252619;8699546650057;1;0
8680001533992;8699546650057;1;0
8680001217793;8699546650057;1;0
8680001160815;8699546650057;1;0
8680001286188;8699546650057;7;1
8680001294916;8699546650057;7;1
8680001286201;8699546650057;7;1
8680001653775;8699546650057;1;0
8680001515967;8699546650057;14;2
8680001289936;8699546650057;1;0
8680001685455;8699546650057;1;0
8680001687190;8699546650057;3;0
8680001295876;8699546650057;2;0
8680001223312;8699546650057;1;0
8680001214754;8699546650057;40;10
8680001442409;8699546650057;40;10
8680001227181;8699546650057;1;0
8680001488452;8699546650057;1;0
8680001250363;8699546650057;1;0
8680001690343;8699546650057;2;0
8680001544370;8699546650057;1;0
8680001381937;8699546650057;1;0
8680001481170;8699546650057;3;0
8680001696536;8699546650057;7;1
8680001553952;8699546650057;1;0
8680001618774;8699546650057;1;0
8680001238606;8699546650057;1;0
8680001238606;8699546650057;7;1
8680001295876;8699546650064;1;0
8680001274819;8699546650064;1;0
8680001295869;8699546650064;1;0
8680001288199;8699546650064;2;0
8680001285556;8699546650064;1;0
8680001221554;8699546650064;2;0
8680001180318;8699546650064;2;0
8680001238873;8699546650064;1;0
8680001597949;8699546650064;1;0
8680001477081;8699546650064;2;0
8680001238958;8699546650064;1;0
8680001283583;8699546650064;2;0
8680001274819;8699546650064;1;0
8680001459209;8699546650064;1;0
8680001274888;8699546650064;10;0
8680001274888;8699546650064;2;0
8680001274819;8699546650064;1;0
8680001285600;8699546650064;2;0
8680001431182;8699546650064;1;0
8680001214754;8699546650064;40;10
8680001676125;8699546650064;2;0
8680001369324;8699546650064;2;0
8680001515967;8699546650064;14;2
8680001412129;8699546650064;1;0
8680001666690;8699546650064;7;1
8680001597949;8699546650064;7;1
8680001296583;8699546650064;1;0
8680001679331;8699546650064;10;0
8680001160815;8699546650064;1;0
8680001625192;8699546650064;1;0
8680001296583;8699546650064;1;0
8680001213719;8699546650064;1;0
8680001296996;8699546650064;2;0
8680001289936;8699546650064;1;0
8680001687190;8699546650064;2;0
8680001381289;8699546650064;7;1
8680001233830;8699546650064;40;10
8680001428403;8699546650064;7;1
8680001288670;8699546650064;2;0
8680001261482;8699546650064;1;0
8680001180318;8699546650064;1;0
8680001222841;8699546650064;7;1
8680001505548;8699546650064;1;0
8680001598151;8699546650064;1;0
8680001481170;8699546650064;5;0
8680001151516;8699546650064;7;1
8680001291014;8699546650064;7;1
8680001285556;8699546540020;1;0
8680001506293;8699546540020;2;0
8680001442652;8699546540020;1;0
8680001622474;8699546540020;1;0
8680001294756;8699546540020;2;0
8680001694051;8699546540020;7;1
8680001286669;8699546540020;1;0
8680001285600;8699546540020;2;0
8680001290116;8699546540020;1;0
8680001515967;8699546540020;14;2
8680001288670;8699546540020;2;0
8680001465392;8699546540020;2;0
8680001547166;8699546540020;7;1
8680001178339;8699546540020;1;0
8680001625192;8699546540020;1;0
8680001184026;8699546540020;1;0
8680001548262;8699546540020;1;0
8680001465361;8699546578078;7;1
8680001346417;8699546578078;1;0
8680001215751;8699546578078;1;0
8680001285556;8699546578078;1;0
8680001544370;8699546578078;1;0
8680001231010;8699546578078;7;1
8680001285877;8699546578078;1;0
8680001286119;8699546578078;1;0
8680001187805;8699546578078;2;0
8680001426232;8699546578078;1;0
8680001459209;8699546578078;1;0
8680001285150;8699546578078;14;2
8680001459261;8699546578078;7;1
8680001212248;8699546578078;1;0
8680001238958;8699546578078;1;0
8680001274642;8699546578078;1;0
8680001599783;8699546578078;7;1
8680001290093;8699546578078;2;0
8680001517572;8699546578078;1;0
8680001660469;8699546578078;2;0
8680001212248;8699546578078;2;0
8680001286119;8699546578078;2;0
8680001553730;8699546578078;2;0
8680001623150;8699546578078;1;0
8680001459209;8699546578078;1;0
8680001292974;8699546578078;1;0
8680001517572;8699546578078;1;0
8680001285839;8699546578078;7;1
8680001285556;8699546578078;3;0
8680001209279;8699546578078;1;0
8680001201655;8699546578078;1;0
8680001284979;8699546578078;1;0
8680001205912;8699546578078;40;10
8680001676125;8699546578078;2;0
8680001214754;8699546578078;40;10
8680001527816;8699546578078;7;1
8680001282210;8699546578078;1;0
8680001359899;8699546578078;7;1
8680001515967;8699546578078;40;10
8680001222841;8699546578078;40;10
8680001375318;8699546578078;1;0
8680001250363;8699546578078;1;0
8680001165834;8699546578078;7;1
8680001218820;8699546578078;7;1
8680001202423;8699546578078;2;0
8680001218820;8699546578078;7;1
8680001439829;8699546578078;7;1
8680001287062;8699546578078;1;0
8680001238958;8699546578078;2;0
8680001381289;8699546578078;7;1
8680001594443;8699546578078;1;0
8680001197989;8699546578078;2;0
8680001573257;8699546578078;2;0
8680001431182;8699546578078;7;1
8680001477630;8699546578078;1;0
8680001693801;8699546578078;1;0
8680001547166;8699546578078;7;1
8680001412129;8699546578078;1;0
8680001246052;8699546578078;1;0
8680001217793;8699546578078;1;0
8680001251766;8699546578078;2;0
8680001292974;8699546578078;1;0
8680001462087;8699546578078;7;1
8680001295876;8699546578078;1;0
8680001288250;8699546578078;2;0
8680001187874;8699546578078;2;0
8680001289936;8699546578078;1;0
8680001213917;8699546578078;7;1
8680001295869;8699546578078;1;0
8680001558438;8699546578078;2;0
8680001496471;8699546578078;3;0
8680001285846;8699546578078;40;10
8680001233830;8699546578078;40;10
8680001216475;8699546578078;7;1
8680001291861;8699546578078;2;0
8680001187652;8699546578078;2;0
8680001601653;8699546578078;7;1
8680001665020;8699546578078;2;0
8680001421220;8699546578078;7;1
8680001288250;8699546578078;7;1
8680001223336;8699546578078;2;0
8680001286096;8699546578078;2;0
8680001238958;8699546578078;1;0
8680001293667;8699546578078;1;0
8680001250363;8699546578078;1;0
8680001217793;8699546578078;1;0
8680001175550;8699546578078;1;0
8680001620388;8699546578078;14;2
8680001565764;8699546578085;2;0
8680001601226;8699546578085;1;0
8680001151516;8699546578085;7;1
8680001205912;8699546578085;1;0
8680001285556;8699546578085;1;0
8680001223046;8699546578085;7;1
8680001541614;8699546578085;7;1
8680001666379;8699546578085;1;0
8680001212248;8699546578085;2;0
8680001505548;8699546578085;1;0
8680001542642;8699546578085;1;0
8680001213719;8699546578085;1;0
8680001421220;8699546578085;1;0
8680001274642;8699546578085;1;0
8680001599783;8699546578085;7;1
8680001290093;8699546578085;7;1
8680001274697;8699546578085;7;1
8680001296996;8699546578085;1;0
8680001295722;8699546578085;1;0
8680001261482;8699546578085;7;1
8680001223855;8699546578085;1;0
8680001623150;8699546578085;2;0
8680001249206;8699546578085;2;0
8680001227792;8699546578085;1;0
8680001477630;8699546578085;1;0
8680001223107;8699546578085;2;0
8680001230440;8699546578085;14;2
8680001214754;8699546578085;40;10
8680001672790;8699546578085;7;1
8680001676125;8699546578085;2;0
8680001597192;8699546578085;7;1
8680001599806;8699546578085;1;0
8680001523573;8699546578085;7;1
8680001628742;8699546578085;7;1
8680001381289;8699546578085;2;0
8680001666379;8699546578085;1;0
8680001553730;8699546578085;2;0
8680001294916;8699546578085;7;1
8680001289936;8699546578085;2;0
8680001222308;8699546578085;2;0
8680001594443;8699546578085;1;0
8680001527816;8699546578085;7;1
8680001120741;8699546578085;1;0
8680001285846;8699546578085;40;10
8680001544240;8699546578085;40;10
8680001381289;8699546578085;7;1
8680001233830;8699546578085;40;10
8680001213917;8699546578085;1;0
8680001359899;8699546578085;7;1
8680001644476;8699546578085;1;0
8680001223855;8699546578085;1;0
8680001286171;8699546578085;1;0
8680001666690;8699546578085;7;1
8680001568918;8699546578085;1;0
8680001598151;8699546578085;1;0
8680001412129;8699546578085;1;0
8680001285570;8699546578085;2;0
8680001401864;8699546578085;1;0
8680001293667;8699546578085;1;0
8680001565764;8699546578085;7;1
8680001622474;8699546578085;1;0
8680001291014;8699546578085;7;1
8680001515967;8699546578085;40;10
8680001209392;8699546578085;1;0
8680001401864;8699546578085;1;0
8680001620388;8699546578085;14;2
8680001696536;8699546578085;1;0
8680001457823;8699546578085;7;1
8680001523092;8699546578108;1;0
8680001638154;8699546578108;2;0
8680001214754;8699546578108;7;1
8680001214754;8699546578108;10;0
8680001547166;8699546578108;1;0
8680001454235;8699546578108;1;0
8680001632862;8699546578108;1;0
8680001423507;8699546578108;1;0
8680001294916;8699546578108;1;0
8680001187874;8699546578108;1;0
8680001291014;8699546578108;1;0
8680001632862;8699546578108;1;0
8680001286102;8699546578092;1;0
8680001214754;8699546578092;7;1
8680001286225;8699546578092;1;0
8680001204731;8699546578092;14;2
8680001547166;8699546578092;1;0
8680001286188;8699546578092;7;1
8680001381289;8699546578092;2;0
8680001243310;8699546578092;1;0
8680001291014;8699546578092;1;0
8680001190379;8699546370382;1;0
8680001548262;8699546370382;1;0
8680001378074;8699546370382;2;0
8680001420674;8699546370382;5;0
8680001236527;8699546370382;2;0
8680001465835;8699546370382;1;0
8680001540303;8699546370382;2;0
8680001213917;8699546370382;15;1
8680001169856;8699546370382;1;0
8680001661985;8699546370382;1;0
8680001498550;8699546370382;1;0
8680001498550;8699546370382;1;0
8680001169856;8699546370382;1;0
8680001205912;8699546370382;15;1
8680001258277;8699546370382;15;1
8680001225590;8699546370382;1;0
8680001423507;8699546370382;2;0
8680001166466;8699546370382;180;18
8680001693801;8699546370382;5;0
8680001459261;8699546370382;5;0
8680001425679;8699546370382;60;6
8680001222841;8699546370382;15;1
8680001690343;8699546370382;3;0
8680001378074;8699546370382;1;0
8680001666379;8699546370382;15;1
8680001292974;8699546370382;5;0
8680001597949;8699546370382;15;1
8680001431168;8699546370382;15;1
8680001291861;8699546370382;5;0
8680001533992;8699546370382;3;0
8680001204731;8699546370382;15;1
8680001238606;8699546370382;2;0
8680001175284;8699546370382;1;0
8680001175284;8699546370382;1;0
8680001226641;8699546370382;1;0
8680001569229;8699546370382;2;0
8680001238958;8699546370382;1;0
8680001295654;8699546370382;1;0
8680001282265;8699546370382;2;0
8680001162208;8699546370382;1;0
8680001431403;8699546370382;2;0
8680001417339;8699546370382;1;0
8680001638154;8699546370382;5;0
8680001475339;8699546370382;1;0
8680001285846;8699546370382;180;18
8680001285846;8699546370382;820;54
8680001421220;8699546370382;1;0
8680001257164;8699546370382;1;0
8680001169856;8699546370382;1;0
8680001274819;8699546370382;1;0
8680001223855;8699546370382;2;0
8680001169856;8699546370382;1;0
8680001225590;8699546370382;1;0
8680001431007;8699546370382;2;0
8680001286171;8699546370382;1;0
8680001442881;8699546370382;6;0
8680001601653;8699546370382;15;1
8680001689866;8699546370382;1;0
8680001565764;8699546370382;5;0
8680001221462;8699546370382;15;1
8680001233830;8699546370382;60;6
8680001286188;8699546370382;15;1
8680001296552;8699546370382;15;1
8680001274901;8699546370382;15;1
8680001659456;8699546370382;2;0
8680001619313;8699546370382;15;1
8680001526956;8699546370382;15;1
8680001275076;8699546370382;15;1
8680001236671;8699546370382;90;9
8680001208685;8699546370382;120;12
8680001274901;8699546370382;15;1
8680001285426;8699546370382;10;1
8680001252619;8699546370399;2;0
8680001282210;8699546370399;2;0
8680001199679;8699546370399;2;0
8680001251544;8699546370399;1;0
8680001175550;8699546370399;15;1
8680001378074;8699546370399;3;0
8680001523627;8699546370399;1;0
8680001223442;8699546370399;15;1
8680001275175;8699546370399;5;0
8680001284979;8699546370399;3;0
8680001252237;8699546370399;15;1
8680001236527;8699546370399;15;1
8680001599783;8699546370399;15;1
8680001431182;8699546370399;15;1
8680001431403;8699546370399;3;0
8680001269167;8699546370399;15;1
8680001500147;8699546370399;2;0
8680001186594;8699546370399;15;1
8680001222797;8699546370399;1;0
8680001205912;8699546370399;60;6
8680001214754;8699546370399;120;12
8680001423507;8699546370399;15;1
8680001465835;8699546370399;1;0
8680001238958;8699546370399;2;0
8680001278510;8699546370399;5;0
8680001459261;8699546370399;15;1
8680001501632;8699546370399;5;0
8680001693801;8699546370399;30;2
8680001547166;8699546370399;1;0
8680001630295;8699546370399;15;1
8680001249060;8699546370399;1;0
8680001221622;8699546370399;10;0
8680001199679;8699546370399;5;0
8680001286034;8699546370399;3;0
8680001617968;8699546370399;3;0
8680001625192;8699546370399;4;0
8680001431403;8699546370399;1;0
8680001570454;8699546370399;3;0
8680001252275;8699546370399;1;0
8680001666379;8699546370399;15;1
8680001223336;8699546370399;12;1
8680001166466;8699546370399;60;6
8680001410903;8699546370399;30;2
8680001204731;8699546370399;15;1
8680001421220;8699546370399;15;1
8680001618934;8699546370399;15;1
8680001221462;8699546370399;15;1
8680001166466;8699546370399;60;6
8680001597949;8699546370399;5;0
8680001547166;8699546370399;15;1
8680001431168;8699546370399;60;6
8680001208685;8699546370399;120;12
8680001285846;8699546370399;300;30
8680001233830;8699546370399;300;30
8680001236671;8699546370399;300;30
8680001672790;8699546370399;15;1
8680001286171;8699546370399;1;0
8680001482160;8699546370399;3;0
8680001182237;8699546370399;5;0
8680001522118;8699546370399;15;1
8680001171330;8699546370399;15;1
8680001230648;8699546370399;2;0
8680001569182;8699546370399;15;1
8680001238958;8699546370399;1;0
8680001689866;8699546370399;1;0
8680001505630;8699546370399;60;6
8680001374779;8699546370399;1;0
8680001548248;8699546370399;60;6
8680001659456;8699546370399;15;1
8680001185962;8699546370399;15;1
8680001619313;8699546370399;15;1
8680001252732;8699546370399;80;8
8680001275076;8699546370399;15;1
8680001565764;8699546370399;5;0
8680001601653;8699546370399;15;1
8680001520961;8699546370399;15;1
8680001524822;8699546370399;2;0
8680001523139;8699546370399;15;1
8680001282210;8699546370429;1;0
8680001523627;8699546370429;15;1
8680001523627;8699546370429;15;1
8680001693801;8699546370429;5;0
8680001285846;8699546370429;120;12
8680001275052;8699546370429;15;1
8680001666379;8699546370429;15;1
8680001222841;8699546370429;15;1
8680001475544;8699546370429;15;1
8680001597949;8699546370429;5;0
8680001208685;8699546370429;60;6
8680001233830;8699546370429;100;10
8680001441426;8699546370429;1;0
8680001238958;8699546370429;1;0
8680001689866;8699546370429;1;0
8680001679331;8699546370429;15;1
8680001601653;8699546370429;3;0
8680001427697;8699546370429;15;2
8680001275250;8699546370597;2;0
8680001679331;8699546370597;1;0
8680001197989;8699546370597;2;0
8680001293551;8699546370597;1;0
8680001404032;8699546370597;5;0
8680001178209;8699546370597;2;0
8680001165834;8699546370597;4;0
8680001256211;8699546370597;1;0
8680001485611;8699546370597;5;0
8680001497928;8699546370597;40;0
8680001286034;8699546370597;3;0
8680001547166;8699546370597;2;0
8680001670284;8699546370597;3;0
8680001212248;8699546370597;1;0
8680001601653;8699546370597;3;0
8680001212248;8699546370597;1;0
8680001295654;8699546370597;1;0
8680001237333;8699546370597;2;0
8680001475339;8699546370597;5;0
8680001213917;8699546370597;10;0
8680001226337;8699546370597;2;0
8680001256358;8699546370597;3;0
8680001625192;8699546370597;2;0
8680001601653;8699546370597;10;1
8680001525270;8699546370597;2;0
8680001213917;8699546370597;10;1
8680001529858;8699546358632;12;0
8680001274642;8699546358632;1;0
8680001231010;8699546358632;3;0
8680001197989;8699546358632;2;0
8680001221783;8699546358632;2;0
8680001236527;8699546358632;2;0
8680001529858;8699546358632;2;0
8680001556021;8699546358632;1;0
8680001234837;8699546358632;1;0
8680001171385;8699546358632;1;0
8680001238217;8699546358632;1;0
8680001227211;8699546358632;1;0
8680001275212;8699546358632;2;0
8680001251766;8699546358632;2;0
8680001424221;8699546358632;1;0
8680001205912;8699546358632;15;1
8680001197989;8699546358632;1;0
8680001523092;8699546358632;2;0
8680001475544;8699546358632;15;1
8680001693801;8699546358632;5;0
8680001227792;8699546358632;60;6
8680001505630;8699546358632;60;6
8680001222841;8699546358632;15;1
8680001425679;8699546358632;100;10
8680001569182;8699546358632;1;0
8680001282128;8699546358632;2;0
8680001215751;8699546358632;1;0
8680001214754;8699546358632;120;12
8680001166466;8699546358632;180;18
8680001285846;8699546358632;180;18
8680001410903;8699546358632;15;1
8680001421220;8699546358632;2;0
8680001257164;8699546358632;2;0
8680001221462;8699546358632;15;1
8680001604098;8699546358632;15;1
8680001166466;8699546358632;180;18
8680001274901;8699546358632;15;1
8680001569182;8699546358632;15;1
8680001547166;8699546358632;2;0
8680001431168;8699546358632;15;1
8680001661466;8699546358632;15;1
8680001208685;8699546358632;60;6
8680001442409;8699546358632;60;6
8680001285846;8699546358632;820;54
8680001233830;8699546358632;100;10
8680001210558;8699546358632;3;0
8680001623150;8699546358632;3;0
8680001441426;8699546358632;1;0
8680001263127;8699546358632;1;0
8680001256358;8699546358632;2;0
8680001220953;8699546358632;2;0
8680001217793;8699546358632;2;0
8680001659456;8699546358632;1;0
8680001185962;8699546358632;2;0
8680001620999;8699546358632;60;6
8680001604098;8699546358632;15;1
8680001359899;8699546358632;5;0
8680001476299;8699546358632;180;18
8680001540303;8699546358632;15;1
8680001275076;8699546358632;15;1
8680001565764;8699546358632;15;1
8680001621651;8699546358632;2;0
8680001523139;8699546358632;15;1
8680001231034;8699546358359;15;1
8680001258666;8699546358359;3;0
8680001492831;8699546358359;15;1
8680001666690;8699546358359;5;0
8680001234134;8699546358359;2;0
8680001633371;8699546358359;15;1
8680001256211;8699546358359;15;1
8680001231010;8699546358359;90;6
8680001263165;8699546358359;1;0
8680001676378;8699546358359;2;0
8680001570454;8699546358359;1;0
8680001263127;8699546358359;2;0
8680001209767;8699546358359;15;1
8680001210558;8699546358359;15;1
8680001431182;8699546358359;15;1
8680001213917;8699546358359;15;1
8680001638154;8699546358359;15;1
8680001185962;8699546358359;15;1
8680001222308;8699546358359;15;1
8680001653171;8699546358359;15;1
8680001230440;8699546358359;60;6
8680001205912;8699546358359;60;6
8680001696536;8699546358359;15;1
8680001214754;8699546358359;120;12
8680001537334;8699546358359;60;6
8680001281992;8699546358359;60;6
8680001523627;8699546358359;15;1
8680001238606;8699546358359;30;2
8680001214341;8699546358359;2;0
8680001283507;8699546358359;15;1
8680001169856;8699546358359;2;0
8680001369324;8699546358359;3;0
8680001369324;8699546358359;30;2
8680001475544;8699546358359;15;1
8680001293643;8699546358359;2;0
8680001258666;8699546358359;2;0
8680001533992;8699546358359;12;0
8680001286096;8699546358359;5;0
8680001636730;8699546358359;5;0
8680001227792;8699546358359;60;6
8680001630295;8699546358359;60;6
8680001661985;8699546358359;60;6
8680001218820;8699546358359;15;1
8680001216475;8699546358359;15;1
8680001666690;8699546358359;60;6
8680001170920;8699546358359;60;6
8680001693801;8699546358359;30;2
8680001208685;8699546358359;240;24
8680001425679;8699546358359;100;10
8680001258277;8699546358359;60;6
8680001286188;8699546358359;60;6
8680001420445;8699546358359;15;1
8680001275052;8699546358359;60;6
8680001666379;8699546358359;30;2
8680001492855;8699546358359;15;1
8680001166466;8699546358359;300;30
8680001166466;8699546358359;200;13
8680001166466;8699546358359;300;30
8680001166466;8699546358359;200;13
8680001282159;8699546358359;15;1
8680001222841;8699546358359;60;6
8680001223336;8699546358359;36;3
8680001639090;8699546358359;30;2
8680001410903;8699546358359;60;6
8680001204731;8699546358359;30;2
8680001471140;8699546358359;15;1
8680001618934;8699546358359;60;6
8680001221462;8699546358359;60;6
8680001604098;8699546358359;60;6
8680001222681;8699546358359;60;6
8680001274901;8699546358359;60;6
8680001569182;8699546358359;60;6
8680001247417;8699546358359;60;6
8680001547166;8699546358359;15;1
8680001431168;8699546358359;120;12
8680001661466;8699546358359;60;6
8680001458554;8699546358359;60;6
8680001442409;8699546358359;60;6
8680001285846;8699546358359;300;30
8680001285846;8699546358359;700;46
8680001381289;8699546358359;60;6
